pago_id,fecha,uid,pid
10640,2021-06-25,24,43
10720,2021-05-18,4,26
10399,2021-06-15,35,70
10711,2021-10-26,142,70
10723,2020-09-09,4,39
10570,2021-07-12,72,99
10742,2021-02-11,6,74
10473,2021-12-14,108,101
10544,2021-12-03,132,5
10555,2021-05-07,13,27
10460,2021-12-23,105,48
10728,2021-12-11,93,21
10506,2021-06-12,39,83
10644,2021-08-04,24,54
10532,2021-12-19,20,50
10462,2021-11-09,105,26
10574,2021-06-30,72,74
10739,2020-09-12,115,37
10451,2021-05-02,47,82
10664,2021-11-19,5,62
10715,2021-02-02,106,72
10423,2021-12-30,59,38
10483,2021-09-20,133,21
10613,2021-10-14,16,83
10712,2021-09-08,142,96
10582,2020-09-15,19,42
10375,2021-10-03,48,99
10554,2021-09-19,21,36
10578,2020-11-09,72,36
10394,2021-10-29,35,21
10684,2021-11-01,52,73
10573,2020-06-18,72,1
10676,2021-09-25,17,5
10663,2021-05-01,8,78
10445,2021-06-15,32,88
10635,2021-05-06,65,31
10542,2021-11-20,132,64
10517,2020-08-15,36,60
10701,2021-08-29,73,19
10527,2021-11-17,20,88
10432,2021-11-07,9,30
10730,2021-06-29,93,5
10622,2021-08-25,46,75
10371,2021-03-01,48,13
10628,2021-01-24,46,5
10487,2020-12-04,133,40
10429,2021-08-08,146,19
10545,2021-12-08,132,50
10391,2020-10-18,35,23
10372,2021-10-13,48,31
10661,2021-03-03,63,97
10378,2021-03-25,48,86
10608,2021-03-09,54,43
10495,2021-12-11,92,21
10666,2021-11-15,5,64
10599,2021-12-14,28,72
10427,2021-12-02,146,80
10621,2021-02-11,46,96
10421,2021-04-01,59,66
10705,2021-12-23,142,80
10494,2021-03-17,92,54
10650,2021-05-11,31,97
10369,2021-02-20,48,80
10388,2020-12-06,141,51
10633,2021-01-26,46,72
10657,2021-08-18,134,85
10476,2020-12-14,60,82
10558,2021-08-25,43,20
10717,2020-12-25,106,45
10625,2020-06-06,46,27
10559,2021-10-26,43,59
10557,2020-11-29,13,48
10675,2020-09-28,17,83
10446,2021-11-16,32,5
10688,2021-10-12,52,31
10733,2021-01-28,115,80
10410,2021-10-07,45,49
10510,2021-05-19,55,100
10583,2020-10-04,19,70
10719,2020-08-29,4,23
10512,2021-07-13,36,17
10390,2021-07-23,141,48
10538,2021-09-05,132,2
10694,2021-12-17,102,86
10634,2021-06-20,46,42
10603,2021-09-11,28,90
10647,2021-12-12,31,38
10590,2021-11-20,7,54
10485,2021-03-06,133,42
10588,2020-08-25,19,35
10548,2020-12-25,34,80
10563,2021-05-07,15,37
10549,2020-10-30,21,97
10697,2021-08-03,64,73
10428,2020-07-03,146,5
10667,2021-07-21,17,88
10537,2021-08-08,132,27
10373,2021-01-02,48,5
10379,2020-12-28,48,99
10737,2021-12-04,115,9
10572,2021-08-15,72,82
10669,2021-04-24,17,75
10707,2021-04-14,142,19
10525,2021-12-30,58,35
10579,2021-03-23,19,38
10466,2021-12-19,105,81
10539,2021-11-02,132,100
10528,2020-07-01,20,86
10612,2021-06-07,16,54
10735,2020-07-04,115,62
10741,2020-08-23,115,96
10580,2020-10-05,19,64
10641,2021-12-08,24,38
10552,2020-10-06,21,13
10638,2020-12-11,24,77
10690,2021-01-28,123,84
10478,2021-10-06,44,75
10656,2021-09-20,134,48
10645,2020-12-18,24,48
10490,2021-12-16,133,48
10600,2021-02-25,28,101
10433,2021-11-05,9,66
10509,2020-09-18,55,27
10683,2021-11-21,52,30
10500,2021-07-24,80,5
10561,2021-10-06,15,34
10699,2021-10-02,64,17
10708,2021-11-12,142,50
10703,2021-10-23,1,32
10702,2021-12-15,1,72
10607,2021-08-15,54,88
10704,2021-12-13,1,1
10616,2021-10-06,56,93
10614,2021-07-17,56,82
10442,2021-12-15,32,21
10618,2021-11-10,87,101
10393,2021-03-30,35,39
10497,2021-02-06,92,37
10403,2020-05-30,45,72
10718,2021-04-12,4,75
10646,2020-11-13,31,31
10585,2021-12-09,19,1
10617,2021-11-16,87,93
10689,2020-11-19,123,74
10419,2020-08-28,59,13
10698,2021-09-01,64,39
10384,2021-02-04,141,7
10405,2021-07-13,45,21
10594,2021-05-26,97,17
10540,2021-12-09,132,59
10726,2020-12-23,38,97
10493,2021-09-01,70,49
10565,2021-11-16,22,86
10430,2021-11-01,9,73
10569,2020-12-23,72,5
10586,2020-06-25,19,32
10479,2021-10-10,67,40
10589,2021-08-04,7,36
10437,2021-11-10,9,45
10740,2021-09-07,115,5
10668,2021-08-10,17,61
10732,2021-06-25,115,83
10677,2021-10-30,130,85
10693,2021-11-23,119,77
10416,2021-09-19,82,100
10385,2021-02-09,141,54
10397,2021-12-21,35,19
10738,2020-07-11,115,99
10562,2021-11-22,15,35
10643,2021-08-02,24,14
10408,2020-07-24,45,99
10535,2021-08-29,20,48
10627,2020-11-20,46,82
10417,2021-08-11,59,79
10396,2021-06-08,35,82
10438,2021-11-07,9,13
10706,2021-08-21,142,21
