id,estado,fecha_inicio,id_usuario,fecha_termino,id_videojuego,mensualidad
58,canceled,30/11/2020,99,30/10/2023,1384,6500
114,canceled,18/6/2020,79,3/11/2023,74,4000
357,canceled,31/10/2021,135,5/11/2023,1068,6500
222,canceled,11/7/2021,118,13/11/2023,18,5000
67,canceled,24/11/2020,125,14/11/2023,74,4000
327,canceled,29/8/2021,78,17/11/2023,126,6500
42,canceled,4/7/2021,107,19/11/2023,1068,6500
219,canceled,28/10/2020,118,19/11/2023,11208,3000
299,canceled,27/1/2021,30,22/11/2023,17000,5500
230,canceled,2/8/2021,13,23/11/2023,493,8000
94,canceled,3/11/2021,54,28/11/2023,17000,5500
341,canceled,6/7/2021,129,28/11/2023,26758,7000
175,canceled,1/3/2021,141,30/11/2023,239,5000
332,canceled,31/10/2021,129,30/11/2023,18,5000
321,canceled,3/10/2021,98,1/12/2023,549,4000
103,canceled,23/10/2021,112,6/12/2023,9630,5000
295,canceled,1/11/2021,119,9/12/2023,549,4000
296,canceled,6/12/2021,119,10/12/2023,20,8000
117,canceled,6/10/2021,105,11/12/2023,1074,8500
287,canceled,31/7/2021,80,12/12/2023,26758,7000
196,canceled,17/4/2021,121,17/12/2023,76,9500
112,canceled,2/12/2021,79,19/12/2023,26758,7000
181,canceled,19/12/2021,47,19/12/2023,74,4000
238,canceled,24/9/2021,136,19/12/2023,230,7500
44,canceled,16/12/2021,107,19/12/2023,1384,6500
96,canceled,3/12/2021,54,20/12/2023,74,4000
244,active,30/4/2021,19,30/12/2023,9730,6500
97,active,20/8/2020,54,20/12/2023,549,4000
2,active,21/3/2021,102,21/12/2023,74,4000
339,active,23/10/2021,129,23/12/2023,20,8000
182,active,6/11/2020,47,6/12/2023,7334,4500
30,active,24/2/2021,97,24/12/2023,126,6500
177,active,5/10/2021,141,5/12/2023,11208,3000
146,active,25/8/2020,120,25/12/2023,6036,3500
224,active,4/12/2020,88,4/12/2023,126,6500
351,active,20/7/2020,130,20/12/2023,239,5000
353,active,8/10/2020,130,8/12/2023,26758,7000
360,active,3/11/2021,132,3/12/2023,2031,5000
215,active,17/5/2020,123,17/12/2023,2031,5000
282,active,13/5/2020,139,13/12/2023,498,5000
370,active,14/11/2021,102,14/12/2023,1068,6500
82,active,24/5/2020,96,24/12/2023,17000,5500
228,active,14/11/2021,149,14/12/2023,126,6500
310,active,19/1/2021,46,19/12/2023,498,5000
255,active,8/5/2021,36,8/12/2023,493,8000
263,active,31/5/2021,134,31/12/2023,5503,5000
12,active,5/10/2020,104,5/12/2023,126,6500
27,active,4/12/2021,97,4/12/2023,17000,5500
99,active,6/11/2021,112,6/12/2023,1068,6500
256,active,1/3/2021,36,1/12/2023,1384,6500
92,active,9/12/2021,54,9/12/2023,731,9500
187,active,6/5/2021,114,6/12/2023,239,5000
167,active,19/12/2020,64,19/12/2023,11208,3000
366,active,21/6/2020,76,21/12/2023,26758,7000
316,active,22/4/2021,44,22/12/2023,18,5000
172,active,11/5/2021,150,11/12/2023,498,5000
174,active,14/5/2020,150,14/12/2023,1068,6500
107,active,13/8/2021,143,13/12/2023,26758,7000
11,active,15/5/2020,104,15/12/2023,20,8000
161,active,8/11/2020,133,8/12/2023,493,8000
216,active,11/6/2020,123,11/12/2023,493,8000
350,active,7/10/2020,130,7/12/2023,9730,6500
144,active,11/12/2021,120,11/12/2023,2031,5000
262,active,4/10/2020,134,4/12/2023,2031,5000
309,active,19/7/2020,46,19/12/2023,7334,4500
208,active,12/2/2021,85,12/12/2023,731,9500
14,active,14/9/2021,115,14/12/2023,1384,6500
88,active,3/6/2020,40,3/12/2023,20,8000
280,active,10/3/2021,139,10/12/2023,74,4000
149,active,12/8/2021,106,12/12/2023,375,9500
138,active,20/6/2020,74,20/12/2023,731,9500
184,active,8/5/2020,128,8/12/2023,11208,3000
155,active,30/9/2021,27,30/12/2023,493,8000
254,active,14/10/2020,36,14/12/2023,20,8000
320,active,29/6/2021,98,29/12/2023,230,7500
251,active,19/10/2021,38,19/12/2023,239,5000
277,active,15/5/2020,12,15/12/2023,26758,7000
226,active,14/5/2021,88,14/12/2023,6036,3500
176,active,25/8/2021,141,25/12/2023,74,4000
75,active,3/11/2021,89,3/12/2023,20,8000
22,active,11/9/2020,9,11/12/2023,26758,7000
305,active,24/5/2021,69,24/12/2023,20,8000
205,active,9/11/2021,28,9/12/2023,230,7500
154,active,23/10/2020,142,23/12/2023,549,4000
170,active,16/11/2021,150,16/12/2023,5503,5000
15,active,26/4/2021,115,26/12/2023,11208,3000
342,active,5/9/2021,129,5/12/2023,230,7500
348,active,19/7/2021,129,19/12/2023,11208,3000
28,active,20/12/2020,97,20/12/2023,230,7500
133,active,22/11/2020,81,22/12/2023,17000,5500
116,active,15/11/2021,105,15/12/2023,498,5000
212,active,24/11/2021,90,24/12/2023,375,9500
26,active,2/2/2021,97,2/12/2023,26758,7000
162,active,29/11/2021,124,29/12/2023,7334,4500
331,active,13/3/2021,140,13/12/2023,26758,7000
20,active,21/7/2020,122,21/12/2023,1070,5500
206,active,19/9/2020,85,19/12/2023,375,9500
113,active,23/10/2021,79,23/12/2023,239,5000
257,active,23/6/2021,36,23/12/2023,18,5000
72,active,2/7/2021,77,2/12/2023,9630,5000
66,active,15/8/2021,125,15/12/2023,126,6500
302,active,13/9/2020,45,13/12/2023,126,6500
62,active,6/12/2021,125,6/12/2023,7334,4500
128,active,28/11/2021,110,28/12/2023,9730,6500
304,active,8/8/2021,45,8/12/2023,1068,6500
160,active,28/9/2021,133,28/12/2023,230,7500
168,active,5/8/2020,64,5/12/2023,1070,5500
364,active,27/9/2021,94,27/12/2023,74,4000
137,active,4/2/2021,74,4/12/2023,9730,6500
371,active,12/12/2021,100,12/12/2023,9630,5000
17,active,16/4/2021,122,16/12/2023,549,4000
333,active,6/11/2020,129,6/12/2023,375,9500
260,active,15/12/2021,36,15/12/2023,9630,5000
276,active,10/6/2020,86,10/12/2023,1384,6500
242,active,1/8/2021,19,1/12/2023,1384,6500
292,active,18/5/2020,10,18/12/2023,126,6500
179,active,8/6/2020,47,8/12/2023,11208,3000
258,active,7/3/2021,36,7/12/2023,1070,5500
359,active,1/3/2021,132,1/12/2023,239,5000
270,active,18/9/2021,131,18/12/2023,2031,5000
231,active,22/1/2021,92,22/12/2023,375,9500
317,active,7/11/2021,44,7/12/2023,1384,6500
135,active,16/5/2020,11,16/12/2023,11208,3000
118,active,12/9/2021,105,12/12/2023,731,9500
338,active,16/11/2020,129,16/12/2023,5503,5000
233,active,9/8/2020,35,9/12/2023,1074,8500
143,active,10/8/2021,120,10/12/2023,493,8000
218,active,19/9/2020,123,19/12/2023,1068,6500
141,active,9/10/2021,126,9/12/2023,2031,5000
272,active,11/2/2021,131,11/12/2023,731,9500
4,active,24/8/2021,102,24/12/2023,26758,7000
323,active,23/11/2021,138,23/12/2023,1074,8500
35,active,31/10/2021,116,31/12/2023,20,8000
54,active,25/5/2020,99,25/12/2023,18,5000
147,active,6/2/2021,120,6/12/2023,731,9500
57,active,11/9/2021,99,11/12/2023,76,9500
131,active,27/4/2021,110,27/12/2023,549,4000
198,active,5/1/2021,83,5/12/2023,9730,6500
356,active,16/6/2020,135,16/12/2023,6036,3500
285,active,11/12/2020,80,11/12/2023,375,9500
77,active,21/10/2021,89,21/12/2023,9630,5000
275,active,18/5/2021,86,18/12/2023,1074,8500
120,active,9/7/2020,148,9/12/2023,1070,5500
180,active,27/9/2020,47,27/12/2023,230,7500
221,active,10/1/2021,118,10/12/2023,498,5000
297,active,4/8/2021,119,4/12/2023,6036,3500
274,active,19/1/2021,86,19/12/2023,18,5000
169,active,8/6/2020,64,8/12/2023,1068,6500
237,active,9/11/2020,136,9/12/2023,11208,3000
53,active,21/2/2021,99,21/12/2023,17000,5500
271,active,7/12/2021,131,7/12/2023,74,4000
37,active,3/10/2021,116,3/12/2023,76,9500
223,active,15/6/2020,118,15/12/2023,239,5000
87,active,23/9/2020,40,23/12/2023,1070,5500
343,active,26/6/2021,129,26/12/2023,9730,6500
70,active,3/10/2021,77,3/12/2023,493,8000
83,active,1/9/2020,96,1/12/2023,239,5000
173,active,4/7/2020,150,4/12/2023,76,9500
346,active,14/8/2020,129,14/12/2023,239,5000
139,active,5/7/2020,117,5/12/2023,126,6500
140,active,26/5/2020,126,26/12/2023,5503,5000
73,active,10/1/2021,89,10/12/2023,1070,5500
13,active,24/3/2021,104,24/12/2023,498,5000
247,active,8/7/2020,91,8/12/2023,18,5000
9,active,31/10/2020,145,31/12/2023,239,5000
78,active,18/9/2020,89,18/12/2023,498,5000
329,active,20/4/2021,78,20/12/2023,498,5000
336,active,10/3/2021,129,10/12/2023,7334,4500
358,active,26/11/2020,95,26/12/2023,2031,5000
122,active,11/4/2021,148,11/12/2023,2031,5000
330,active,1/1/2021,78,1/12/2023,20,8000
51,active,3/5/2020,127,3/12/2023,26758,7000
252,active,22/5/2020,38,22/12/2023,1070,5500
39,active,10/6/2020,107,10/12/2023,74,4000
100,active,7/11/2020,112,7/12/2023,11208,3000
345,active,4/7/2021,129,4/12/2023,498,5000
259,active,6/6/2020,36,6/12/2023,375,9500
148,active,24/9/2021,106,24/12/2023,74,4000
33,active,23/7/2021,116,23/12/2023,9730,6500
40,active,5/10/2020,107,5/12/2023,18,5000
55,active,19/12/2021,99,19/12/2023,5503,5000
354,active,18/12/2020,135,18/12/2023,230,7500
23,active,14/5/2021,9,14/12/2023,126,6500
24,active,16/2/2021,109,16/12/2023,1384,6500
214,active,26/12/2020,123,26/12/2023,498,5000
367,active,24/8/2020,100,24/12/2023,74,4000
253,active,28/11/2021,38,28/12/2023,1384,6500
69,active,15/10/2020,77,15/12/2023,126,6500
199,active,20/12/2020,83,20/12/2023,126,6500
119,active,16/4/2021,41,16/12/2023,1074,8500
111,active,13/8/2020,143,13/12/2023,18,5000
109,active,14/3/2021,143,14/12/2023,74,4000
29,active,4/5/2020,97,4/12/2023,375,9500
225,active,20/5/2020,88,20/12/2023,5503,5000
229,active,4/11/2020,32,4/12/2023,126,6500
289,active,28/7/2020,80,28/12/2023,11208,3000
194,active,12/11/2021,121,12/12/2023,1074,8500
89,active,28/8/2021,40,28/12/2023,498,5000
347,active,11/12/2021,129,11/12/2023,76,9500
6,active,11/7/2021,22,11/12/2023,1384,6500
183,active,5/5/2021,47,5/12/2023,375,9500
201,active,10/6/2020,28,10/12/2023,20,8000
49,active,28/10/2020,146,28/12/2023,375,9500
202,active,27/3/2021,28,27/12/2023,493,8000
279,active,3/3/2021,139,3/12/2023,20,8000
164,active,18/12/2020,124,18/12/2023,731,9500
232,active,15/11/2020,35,15/12/2023,18,5000
145,active,2/9/2021,120,2/12/2023,26758,7000
60,active,9/7/2020,125,9/12/2023,18,5000
63,active,19/2/2021,125,19/12/2023,9730,6500
142,active,7/12/2020,126,7/12/2023,1074,8500
156,active,18/9/2020,27,18/12/2023,9730,6500
34,active,1/4/2021,116,1/12/2023,731,9500
337,active,14/3/2021,129,14/12/2023,2031,5000
136,active,15/2/2021,74,15/12/2023,17000,5500
84,active,9/5/2021,137,9/12/2023,2031,5000
203,active,4/7/2021,28,4/12/2023,1074,8500
91,active,17/11/2020,40,17/12/2023,230,7500
322,active,24/10/2021,138,24/12/2023,498,5000
108,active,30/10/2020,143,30/12/2023,5503,5000
261,active,9/11/2021,134,9/12/2023,7334,4500
190,active,5/7/2020,111,5/12/2023,11208,3000
46,active,24/1/2021,146,24/12/2023,74,4000
240,active,1/9/2021,136,1/12/2023,26758,7000
79,active,14/12/2021,89,14/12/2023,1068,6500
344,active,6/10/2021,129,6/12/2023,549,4000
267,active,7/5/2021,134,7/12/2023,731,9500
65,active,27/6/2021,125,27/12/2023,2031,5000
31,active,27/11/2020,108,27/12/2023,20,8000
45,active,2/2/2021,101,2/12/2023,9730,6500
64,active,18/7/2021,125,18/12/2023,26758,7000
269,active,16/10/2021,131,16/12/2023,375,9500
288,active,16/8/2020,80,16/12/2023,76,9500
308,active,28/7/2020,144,28/12/2023,1070,5500
197,active,2/11/2020,82,2/12/2023,549,4000
129,active,20/7/2020,110,20/12/2023,375,9500
294,active,28/6/2021,119,28/12/2023,2031,5000
47,active,16/8/2020,146,16/12/2023,76,9500
273,active,23/6/2021,131,23/12/2023,1068,6500
213,active,6/7/2020,123,6/12/2023,11208,3000
86,active,21/6/2021,40,21/12/2023,9730,6500
235,active,19/6/2020,35,19/12/2023,9630,5000
217,active,21/12/2021,123,21/12/2023,76,9500
7,active,28/9/2020,22,28/12/2023,9730,6500
312,active,10/3/2021,46,10/12/2023,9630,5000
286,active,14/3/2021,80,14/12/2023,74,4000
236,active,18/5/2020,84,18/12/2023,9730,6500
76,active,26/9/2021,89,26/12/2023,5503,5000
249,active,25/11/2021,38,25/12/2023,731,9500
8,active,8/5/2020,22,8/12/2023,2031,5000
250,active,26/8/2020,38,26/12/2023,74,4000
32,active,10/11/2021,108,10/12/2023,239,5000
185,active,3/10/2021,128,3/12/2023,9730,6500
80,active,24/9/2020,96,24/12/2023,5503,5000
352,active,20/8/2020,130,20/12/2023,2031,5000
85,active,21/3/2021,40,21/12/2023,26758,7000
10,active,9/8/2020,145,9/12/2023,5503,5000
365,active,19/9/2021,76,19/12/2023,9630,5000
204,active,20/7/2021,28,20/12/2023,7334,4500
319,active,18/6/2021,98,18/12/2023,1384,6500
186,active,17/7/2020,128,17/12/2023,7334,4500
284,active,31/5/2021,80,31/12/2023,20,8000
158,active,21/5/2020,133,21/12/2023,9730,6500
152,active,18/11/2021,142,18/12/2023,1074,8500
325,active,24/7/2020,113,24/12/2023,126,6500
171,active,11/3/2021,150,11/12/2023,6036,3500
207,active,27/7/2020,85,27/12/2023,11208,3000
151,active,28/7/2021,106,28/12/2023,1384,6500
188,active,1/12/2020,111,1/12/2023,1070,5500
41,active,10/2/2021,107,10/12/2023,1070,5500
306,active,26/8/2020,144,26/12/2023,549,4000
134,active,2/4/2021,11,2/12/2023,239,5000
18,active,9/12/2020,122,9/12/2023,9630,5000
318,active,13/1/2021,98,13/12/2023,498,5000
220,active,17/10/2021,118,17/12/2023,1074,8500
293,active,25/10/2020,10,25/12/2023,5503,5000
98,active,8/7/2020,54,8/12/2023,239,5000
195,active,5/8/2020,121,5/12/2023,230,7500
200,active,7/11/2020,83,7/12/2023,731,9500
191,active,6/7/2021,111,6/12/2023,1384,6500
110,active,30/4/2021,143,30/12/2023,1074,8500
315,active,17/11/2021,44,17/12/2023,1070,5500
281,active,1/4/2021,139,1/12/2023,7334,4500
95,active,7/8/2021,54,7/12/2023,20,8000
3,active,31/1/2021,102,31/12/2023,2031,5000
268,active,31/10/2020,134,31/12/2023,76,9500
246,active,20/10/2021,91,20/12/2023,6036,3500
265,active,10/7/2021,134,10/12/2023,230,7500
362,active,18/4/2021,94,18/12/2023,9630,5000
239,active,18/2/2021,136,18/12/2023,126,6500
192,active,25/7/2021,87,25/12/2023,1068,6500
104,active,20/5/2021,93,20/12/2023,17000,5500
71,active,31/8/2021,77,31/12/2023,9730,6500
5,active,7/10/2021,102,7/12/2023,7334,4500
125,active,31/5/2020,23,31/12/2023,6036,3500
227,active,4/11/2020,149,4/12/2023,11208,3000
124,active,8/11/2020,23,8/12/2023,375,9500
150,active,16/7/2020,106,16/12/2023,493,8000
314,active,9/6/2021,44,9/12/2023,126,6500
