pago_id,monto,fecha,uid,pid,pro_id
10658,4000,23/12/2020,134,21,16
10477,3000,25/12/2020,44,88,5
10692,5000,25/12/2020,119,42,4
10544,9000,25/12/2020,132,5,3
10637,7000,27/12/2020,24,33,18
10384,7500,27/12/2020,141,7,14
10387,8500,28/12/2020,141,99,9
10589,3500,28/12/2020,7,36,11
10672,6500,31/12/2020,17,26,6
10644,1000,2/1/2021,24,54,18
10481,7500,2/1/2021,133,49,16
10531,7000,3/1/2021,20,83,5
10737,3000,4/1/2021,115,9,11
10504,4000,6/1/2021,76,74,11
10547,6500,24/1/2021,12,48,5
10556,5000,24/1/2021,13,5,10
10605,4000,25/1/2021,28,50,4
10538,9500,26/1/2021,132,2,15
10484,5500,28/1/2021,133,65,16
10433,6000,28/1/2021,9,66,13
10519,4500,30/1/2021,75,85,5
10412,7000,30/1/2021,82,33,18
10722,5000,31/1/2021,4,100,1
10497,9500,2/2/2021,92,37,19
10485,8500,4/2/2021,133,42,7
10635,1000,6/2/2021,65,31,9
10561,4000,6/2/2021,15,34,18
10478,6000,9/2/2021,44,75,17
10368,7500,11/2/2021,48,95,16
10616,1000,11/2/2021,56,93,8
10555,5000,11/2/2021,13,27,15
10563,6000,15/2/2021,15,37,18
10612,1000,17/2/2021,16,54,18
10740,3500,20/2/2021,115,5,5
10410,7500,25/2/2021,45,49,16
10486,7500,25/2/2021,133,80,16
10432,6000,26/2/2021,9,30,13
10438,5500,1/3/2021,9,13,13
10729,5000,3/3/2021,93,5,10
10370,9000,4/3/2021,48,20,13
10459,3500,5/3/2021,105,1,10
10396,6500,6/3/2021,35,82,7
10609,6500,8/3/2021,50,75,2
10624,6500,9/3/2021,46,95,7
10496,7000,9/3/2021,92,85,14
10537,5000,11/3/2021,132,27,15
10429,4000,13/3/2021,146,19,16
10712,8000,14/3/2021,142,96,10
10592,8500,17/3/2021,97,60,4
10641,9000,19/3/2021,24,38,16
10727,8000,20/3/2021,93,35,7
10545,7000,20/3/2021,132,50,3
10385,5500,22/3/2021,141,54,5
10608,1000,22/3/2021,54,43,2
10422,9500,23/3/2021,59,97,13
10441,6000,25/3/2021,32,42,12
10631,4500,25/3/2021,46,75,7
10411,7000,27/3/2021,82,77,18
10696,4000,30/3/2021,64,48,7
10674,6000,31/3/2021,17,95,6
10611,4500,1/4/2021,50,75,7
10436,6000,2/4/2021,9,99,13
10464,7000,5/4/2021,105,35,2
10462,6500,11/4/2021,105,26,6
10585,3500,12/4/2021,19,1,10
10655,4000,12/4/2021,31,34,18
10540,7000,14/4/2021,132,59,3
10668,5500,16/4/2021,17,61,6
10468,6000,19/4/2021,41,37,18
10456,5000,19/4/2021,62,5,10
10479,1000,21/4/2021,67,40,8
10437,9000,24/4/2021,9,45,13
10560,5500,25/4/2021,43,74,14
10618,4500,25/4/2021,87,101,4
10744,3000,27/4/2021,6,62,11
10742,4000,30/4/2021,6,74,11
10621,8000,1/5/2021,46,96,10
10457,8000,1/5/2021,105,82,10
10626,6000,2/5/2021,46,20,10
10606,8500,2/5/2021,28,64,19
10650,9500,3/5/2021,31,97,13
10516,8000,3/5/2021,36,75,6
10503,5500,3/5/2021,51,61,6
10417,6000,5/5/2021,59,79,19
10603,6000,6/5/2021,28,90,15
10680,6500,7/5/2021,130,72,4
10439,9500,7/5/2021,9,97,13
10434,8500,8/5/2021,9,31,13
10584,8000,9/5/2021,19,96,10
10629,6500,11/5/2021,46,5,16
10418,8500,18/5/2021,59,76,18
10518,4000,18/5/2021,75,83,14
10495,9500,19/5/2021,92,21,7
10728,9500,20/5/2021,93,21,7
10718,4500,22/5/2021,4,75,7
10513,7500,22/5/2021,36,49,16
10506,4000,26/5/2021,39,83,14
10570,8500,1/6/2021,72,99,9
10619,5000,1/6/2021,87,42,4
10523,7000,2/6/2021,57,77,1
10536,6000,5/6/2021,20,81,5
10688,8500,7/6/2021,52,31,13
10374,5500,8/6/2021,48,65,16
10708,4500,8/6/2021,142,50,5
10647,3000,12/6/2021,31,38,18
10604,6000,15/6/2021,28,99,13
10512,8500,15/6/2021,36,17,6
10405,4000,16/6/2021,45,21,16
10610,3000,20/6/2021,50,83,1
10695,9500,21/6/2021,64,21,7
10372,1000,21/6/2021,48,31,9
10646,1000,25/6/2021,31,31,9
10704,3500,25/6/2021,1,1,10
10716,9500,29/6/2021,106,21,7
10630,4500,29/6/2021,46,66,10
10707,6500,30/6/2021,142,19,14
10587,5000,1/7/2021,19,8,7
10435,5000,8/7/2021,9,86,20
10736,6000,9/7/2021,115,42,12
10613,7000,9/7/2021,16,83,5
10461,8500,11/7/2021,105,65,5
10734,9000,11/7/2021,115,88,12
10476,8000,12/7/2021,60,82,10
10599,6500,12/7/2021,28,72,4
10470,8500,13/7/2021,41,2,1
10473,4000,13/7/2021,108,101,1
10450,3000,13/7/2021,47,88,5
10445,9000,17/7/2021,32,88,12
10399,6000,17/7/2021,35,70,7
10517,8500,21/7/2021,36,60,4
10607,9000,23/7/2021,54,88,12
10455,8500,24/7/2021,62,60,4
10572,8000,26/7/2021,72,82,10
10582,8500,1/8/2021,19,42,7
10508,6500,2/8/2021,74,53,6
10666,1000,2/8/2021,5,64,7
10649,4000,2/8/2021,31,19,16
10702,4000,3/8/2021,1,72,10
10442,4000,4/8/2021,32,21,16
10472,7000,4/8/2021,41,77,18
10520,4000,4/8/2021,57,48,7
10620,6500,8/8/2021,46,42,17
10480,6000,8/8/2021,67,80,2
10553,3000,8/8/2021,21,62,11
10380,9000,10/8/2021,48,38,16
10551,6500,10/8/2021,21,13,11
10565,5000,10/8/2021,22,86,20
10446,6500,11/8/2021,32,5,16
10617,1000,12/8/2021,87,93,8
10490,4000,14/8/2021,133,48,7
10449,1000,15/8/2021,47,64,7
10494,6000,15/8/2021,92,54,1
10614,8000,15/8/2021,56,82,10
10521,6000,17/8/2021,57,99,13
10533,6500,18/8/2021,20,51,5
10546,7000,18/8/2021,12,50,3
10527,3000,20/8/2021,20,88,5
10694,5000,20/8/2021,102,86,20
10720,3500,21/8/2021,4,26,1
10731,1000,22/8/2021,93,64,7
10573,3500,22/8/2021,72,1,10
10414,8500,22/8/2021,82,76,18
10657,4500,24/8/2021,134,85,5
10509,5000,25/8/2021,55,27,15
10391,6500,25/8/2021,35,23,1
10444,5500,29/8/2021,32,65,16
10595,4500,29/8/2021,97,101,4
10645,3500,30/8/2021,24,48,18
10383,6500,30/8/2021,141,19,14
10665,7500,31/8/2021,5,44,13
10602,3000,1/9/2021,28,99,19
10510,6000,1/9/2021,55,100,15
10554,3500,3/9/2021,21,36,11
10416,4500,3/9/2021,82,100,18
10593,4500,5/9/2021,97,65,4
10689,4000,7/9/2021,123,74,11
10664,3000,8/9/2021,5,62,11
10532,4500,9/9/2021,20,50,5
10466,6000,11/9/2021,105,81,5
10369,7500,11/9/2021,48,80,16
10498,5000,13/9/2021,92,100,1
10488,1000,16/9/2021,133,20,7
10575,1000,16/9/2021,72,93,8
10634,8500,19/9/2021,46,42,7
10577,4000,19/9/2021,72,54,9
10654,7500,20/9/2021,31,44,13
10463,4500,20/9/2021,105,85,5
10483,4000,21/9/2021,133,21,16
10656,6500,23/9/2021,134,48,5
10581,6500,25/9/2021,19,19,14
10627,8000,25/9/2021,46,82,10
10590,4000,26/9/2021,7,54,9
10367,7500,28/9/2021,48,49,16
10542,5000,28/9/2021,132,64,3
10514,5000,29/9/2021,36,68,12
10395,4500,2/10/2021,35,75,7
10465,4000,2/10/2021,105,72,10
10543,6000,3/10/2021,132,90,15
10667,3000,4/10/2021,17,88,5
10706,9500,5/10/2021,142,21,7
10482,9000,6/10/2021,133,38,16
10683,6000,6/10/2021,52,30,13
10524,4000,6/10/2021,57,101,1
10601,8500,6/10/2021,28,31,13
10534,8500,7/10/2021,20,65,5
10397,4000,7/10/2021,35,19,16
10636,3000,8/10/2021,24,38,18
10725,7500,9/10/2021,38,44,13
10700,7000,9/10/2021,64,59,3
10491,4000,10/10/2021,69,83,14
10398,6500,12/10/2021,35,5,16
10685,3500,12/10/2021,52,5,5
10489,3000,13/10/2021,133,62,11
10687,6000,14/10/2021,52,95,6
10562,6500,14/10/2021,15,35,14
10458,6000,16/10/2021,105,95,6
10366,9500,18/10/2021,48,97,13
10453,1000,18/10/2021,62,11,17
10579,9000,19/10/2021,19,38,16
10390,6500,20/10/2021,141,48,5
10741,4500,23/10/2021,115,96,19
10651,4500,26/10/2021,31,73,13
10703,9500,26/10/2021,1,32,7
10566,6500,26/10/2021,53,13,11
10522,4500,27/10/2021,57,75,7
10693,7000,29/10/2021,119,77,1
10541,4500,30/10/2021,132,29,3
10726,9500,31/10/2021,38,97,13
10569,5000,1/11/2021,72,5,10
10564,6500,1/11/2021,22,53,6
10443,9500,2/11/2021,32,78,2
10460,6500,2/11/2021,105,48,5
10705,7500,2/11/2021,142,80,16
10628,5000,3/11/2021,46,5,10
10420,4500,5/11/2021,59,73,13
10669,8000,7/11/2021,17,75,6
10408,3000,7/11/2021,45,99,19
10500,5000,9/11/2021,80,5,10
10714,3000,9/11/2021,142,88,5
10425,8500,9/11/2021,59,31,13
10600,4500,10/11/2021,28,101,4
10381,5500,10/11/2021,141,60,14
10724,4500,10/11/2021,38,100,18
10378,5000,11/11/2021,48,86,20
10642,6000,11/11/2021,24,80,2
10447,9500,12/11/2021,47,21,7
10586,9500,12/11/2021,19,32,7
10640,1000,14/11/2021,24,43,2
10732,4000,15/11/2021,115,83,14
10588,8000,16/11/2021,19,35,7
10597,9000,16/11/2021,28,45,13
10558,1000,16/11/2021,43,20,7
10622,6000,16/11/2021,46,75,17
10409,9500,17/11/2021,45,37,19
10676,3500,17/11/2021,17,5,5
10710,4500,19/11/2021,142,75,7
10598,5000,20/11/2021,28,42,4
10567,9500,20/11/2021,53,5,11
10568,5000,20/11/2021,53,84,11
10548,6000,21/11/2021,34,80,2
10717,8500,21/11/2021,106,45,16
10678,4500,22/11/2021,130,85,5
10633,4000,23/11/2021,46,72,10
10653,9000,23/11/2021,31,19,17
10594,6500,23/11/2021,97,17,4
10681,4500,23/11/2021,130,41,4
10615,5500,25/11/2021,56,60,14
10406,5500,25/11/2021,45,65,16
10530,3500,25/11/2021,20,5,5
10559,7000,26/11/2021,43,59,3
10711,6000,26/11/2021,142,70,7
10529,5500,26/11/2021,20,54,5
10501,6000,27/11/2021,33,30,13
10632,8500,2/12/2021,46,45,16
10713,4000,2/12/2021,142,21,16
10596,4000,3/12/2021,97,50,4
10377,4000,3/12/2021,48,19,16
10505,6000,3/12/2021,76,90,15
10452,5500,4/12/2021,62,54,5
10648,1000,4/12/2021,31,54,18
10639,6500,5/12/2021,24,5,16
10515,6500,7/12/2021,36,5,16
10591,6500,8/12/2021,122,26,6
10733,6000,8/12/2021,115,80,2
10690,5000,8/12/2021,123,84,11
10419,5500,9/12/2021,59,13,13
10675,7000,9/12/2021,17,83,5
10550,6500,9/12/2021,21,75,2
10499,6000,10/12/2023,80,20,10
10379,6000,11/12/2021,48,99,13
10686,8000,11/12/2021,52,75,6
10730,9500,11/12/2021,93,5,11
10691,6500,11/12/2021,119,72,19
10719,6500,11/12/2021,4,23,1
10535,6500,11/12/2021,20,48,5
10701,9000,12/12/2021,73,19,17
10402,3500,13/12/2021,45,38,19
10507,9000,13/12/2021,74,19,17
10394,9500,14/12/2021,35,21,7
10557,6500,14/12/2021,13,48,5
10424,7000,14/12/2021,59,33,18
10426,9000,15/12/2021,59,20,13
10679,6500,15/12/2021,130,51,5
10393,6500,16/12/2021,35,39,1
10659,6500,17/12/2021,63,51,5
10403,6500,19/12/2021,45,72,19
10574,4000,19/12/2021,72,74,11
10469,8000,20/12/2021,41,75,6
10413,8500,21/12/2021,82,99,9
10743,8500,21/12/2021,6,78,11
10549,9500,22/12/2021,21,97,13
10448,4000,22/12/2021,47,48,7
10677,7000,23/12/2021,130,85,14
10525,7000,23/12/2021,58,35,2
10423,3000,23/12/2021,59,38,18
10709,7500,23/12/2021,142,49,16
10386,7000,26/12/2021,141,85,14
10511,8500,27/12/2021,55,78,11
10401,3000,29/12/2021,45,68,19
10682,3000,30/12/2021,130,88,5
10376,4500,30/12/2021,48,73,13
10415,3000,30/12/2021,82,38,18
